Barcode,Height (cm),Tree type,Health,Diameter (mm),Notes,Created By,Date,Cell No.,Link Record,Tree classification,Basalt,Soil Innoculation,Group (from Link Record),Download image name,Cell Planted Date (from Link Record),Plant week no (from Link Record),1st Measure Week No.,Weeks of growth to first measure,Height/Week of growth (cm),Plant height reference,Size range at planting (cm),Age (from Plant height reference 2),Diameter (mm) 12-21,Height (cm) 12-21,12-21 Update date,12-21 Updated by,Replanted 2-22,Diameter at base 2-22 replant,Height 2-22 replant,Replant measured by,Replant 2-22 measure date,Base Diameter (mm) (10-22),Diameter at 1.3m (mm) (10-22),Top Whorl Height (cm) (10-22),Height to tip (cm) (10-22),Dead (10-22),Remeasured 10-22 by,10-22 Remeasure date,Conifer/ Broadleaf,Health (10-23),"Height to tip (cm, 10-23)","Diameter at 1.3m (mm, 10-23)","Base Diameter (mm, 10-23)",Collector (10-23),10-23 Data Collection,Location Est X/Y accuracy,Location Est Z accuracy,X,Y,Z,Notes 10-23,Location Offset
10011,13.5,Birch,Healthy,2,,Heather Allen,28/6/2021 1:42pm,1,1,Native Broadleaf,No,No,C,010011-2021-06-28,03/05/2021,19,27,8,2,3,25-40,1u1,,,,,,,,,,16,5,,157,,TCC10 CarbonCom,7/10/2022 2:16pm,Broadleaf,,,,,,,,,,,,,West
10012,58,Alder,Vigorous ,3.7,,Andrea Casale,28/6/2021 1:07pm,1,1,Native Broadleaf,No,No,C,010012-2021-06-28,03/05/2021,19,27,8,7,6,20-60,1u1,,,,,,,,,,26,9,,199,,TCC14 CarbonCom,7/10/2022 2:18pm,Broadleaf,Alive,236,8,27,TCC11 CarbonCom,05/10/2023 13:57,0.01,0.01,280509.4255,241923.1625,220.7463,,West
10013,49,Aspen,Healthy,3.5,,Andrea Casale,28/6/2021 1:08pm,1,1,Native Broadleaf,No,No,C,010013-2021-06-28,03/05/2021,19,27,8,6,4,30-40,1+1,,,,,,,,,,19,4,,174,,TCC14 CarbonCom,7/10/2022 2:19pm,Broadleaf,Alive,265,11,23,TCC7 CarbonCom,05/10/2023 14:07,0.01,0.02,280514.0643,241928.4298,220.7994,,West
10014,37,Birch,Healthy,3.9,,Heather Allen,28/6/2021 1:39pm,1,1,Native Broadleaf,No,No,C,010014-2021-06-28,03/05/2021,19,27,8,5,2,20-40,1/0,,,,,,,,,,22,8,,188,,TCC10 CarbonCom,7/10/2022 2:20pm,Broadleaf,Alive,286,15,36,TCC11 CarbonCom,05/10/2023 14:04,0.01,0.02,280516.031,241926.9348,220.9124,,West
10015,8,Birch,Healthy,1.8,,Heather Allen,28/6/2021 1:40pm,1,1,Native Broadleaf,No,No,C,010015-2021-06-28,03/05/2021,19,27,8,1,2,20-40,1/0,,,,,,,,,,10,,,127,,TCC10 CarbonCom,7/10/2022 2:18pm,Broadleaf,Alive,165,4,16,TCC11 CarbonCom,05/10/2023 14:29,0.02,0.02,280514.0182,241926.0036,220.9307,,West
10016,44,Alder,Sick,5.7,,Andrea Casale,28/6/2021 1:13pm,1,1,Native Broadleaf,No,No,C,010016-2021-06-28,03/05/2021,19,27,8,6,6,20-60,1u1,,,,,,,,,,20,,,120,,TCC14 CarbonCom,7/10/2022 2:20pm,Broadleaf,Alive,200,11,34,TCC7 CarbonCom,05/10/2023 14:13,0.02,0.02,280519.0042,241931.1395,220.8198,,West
10017,27,Alder,Healthy,4.3,,Andrea Casale,28/6/2021 1:16pm,1,1,Native Broadleaf,No,No,C,010017-2021-06-28,03/05/2021,19,27,8,3,6,20-60,1u1,,,,,,,,,,26,4,,152,,TCC14 CarbonCom,7/10/2022 2:23pm,Broadleaf,Alive,243,14,45,TCC7 CarbonCom,05/10/2023 14:19,0.02,0.02,280524.1413,241933.553,220.796,,West
10018,42.6,Alder,Healthy,5,,Andrea Casale,28/6/2021 1:15pm,1,1,Native Broadleaf,No,No,C,010018-2021-06-28,03/05/2021,19,27,8,5,6,20-60,1u1,,,,,,,,,,15,,,111,,TCC14 CarbonCom,7/10/2022 2:22pm,Broadleaf,Alive,176,10,31,TCC7 CarbonCom,05/10/2023 14:17,0.01,0.02,280522.3565,241932.7609,220.7925,,West
10019,35,Alder,Vigorous ,5,,Andrea Casale,28/6/2021 1:18pm,1,1,Native Broadleaf,No,No,C,010019-2021-06-28,03/05/2021,19,27,8,4,6,20-60,1u1,,,,,,,,,,16,,,104,,TCC14 CarbonCom,7/10/2022 2:24pm,Broadleaf,Alive,152,13,33,TCC7 CarbonCom,05/10/2023 14:24,0.01,0.02,280527.375,241935.2143,220.7996,,West
10020,33,Alder,Healthy,3.6,,Andrea Casale,28/6/2021 1:10pm,1,1,Native Broadleaf,No,No,C,010020-2021-06-28,03/05/2021,19,27,8,4,6,20-60,1u1,,,,,,,,,,17,,,120,,TCC14 CarbonCom,7/10/2022 2:19pm,Broadleaf,Alive,219,13,34,TCC7 CarbonCom,05/10/2023 14:09,0.02,0.02,280515.6315,241929.2495,220.8519,,West
10021,24.1,Alder,Healthy,4.2,,Andrea Casale,28/6/2021 1:11pm,1,1,Native Broadleaf,No,No,C,010021-2021-06-28,03/05/2021,19,27,8,3,6,20-60,1u1,,,,,,,,,,12,,,105,,TCC14 CarbonCom,7/10/2022 2:20pm,Broadleaf,Alive,184,9,21,TCC7 CarbonCom,05/10/2023 14:11,0.02,0.02,280517.2231,241929.969,220.8827,,West
10022,40.5,Alder,Healthy,5.3,,Andrea Casale,28/6/2021 1:14pm,1,1,Native Broadleaf,No,No,C,010022-2021-06-28,03/05/2021,19,27,8,5,6,20-60,1u1,,,,,,,,,,17,,,119,,TCC14 CarbonCom,7/10/2022 2:21pm,Broadleaf,Alive,185,8,30,TCC7 CarbonCom,05/10/2023 14:14,0.02,0.02,280520.6186,241931.8347,220.8289,,West
10023,36,Alder,Healthy,4.8,,Andrea Casale,28/6/2021 1:17pm,1,1,Native Broadleaf,No,No,C,010023-2021-06-28,03/05/2021,19,27,8,5,6,20-60,1u1,,,,,,,,,,24,4,,134,,TCC14 CarbonCom,7/10/2022 2:24pm,Broadleaf,Alive,224,19,43,TCC7 CarbonCom,05/10/2023 14:21,0.01,0.02,280525.7698,241934.4765,220.8011,,West
10024,49.8,Aspen,Vigorous ,6.9,,Andrea Casale,28/6/2021 12:53pm,1,1,Native Broadleaf,No,No,C,010024-2021-06-28,03/05/2021,19,27,8,6,4,30-40,1+1,,,,,,,,,,32,7,,154,,TCC13 CarbonCom,7/10/2022 2:23pm,Broadleaf,Alive,252,20,56,TCC8 CarbonCom,05/10/2023 14:26,0.01,0.02,280524.7133,241935.969,220.6558,,West
10025,58,Aspen,Vigorous ,6,,Andrea Casale,28/6/2021 12:55pm,1,1,Native Broadleaf,No,No,C,010025-2021-06-28,03/05/2021,19,27,8,7,4,30-40,1+1,,,,,,,,,,24,12,,167,,TCC13 CarbonCom,7/10/2022 2:22pm,Broadleaf,Alive,265,20,52,TCC8 CarbonCom,05/10/2023 14:24,0.01,0.02,280523.1263,241934.9951,220.7172,,West
