Barcode,Height (cm),Tree type,Health,Diameter (mm),Notes,Created By,Date,Cell No.,Link Record,Tree classification,Basalt,Soil Innoculation,Group (from Link Record),Download image name,Cell Planted Date (from Link Record),Plant week no (from Link Record),1st Measure Week No.,Weeks of growth to first measure,Height/Week of growth (cm),Plant height reference,Size range at planting (cm),Age (from Plant height reference 2),Diameter (mm) 12-21,Height (cm) 12-21,12-21 Update date,12-21 Updated by,Replanted 2-22,Diameter at base 2-22 replant,Height 2-22 replant,Replant measured by,Replant 2-22 measure date,Base Diameter (mm) (10-22),Diameter at 1.3m (mm) (10-22),Top Whorl Height (cm) (10-22),Height to tip (cm) (10-22),Dead (10-22),Remeasured 10-22 by,10-22 Remeasure date,Conifer/ Broadleaf,Health (10-23),"Height to tip (cm, 10-23)","Diameter at 1.3m (mm, 10-23)","Base Diameter (mm, 10-23)",Collector (10-23),10-23 Data Collection,Location Est X/Y accuracy,Location Est Z accuracy,X,Y,Z,Notes 10-23,Location Offset
40058,97,Birch,Healthy,7.3,,The Carbon 4,15/10/2021 2:12pm,4,4,Native Broadleaf,Yes,Yes,A,040058-2021-10-15,24/05/2021,22,42,20,5,2,20-40,1/0,,,,,,,,,,24,10,,205,,TCC8 CarbonCom,7/10/2022 11:59am,Broadleaf,Alive,262,13,39,TCC7 CarbonCom,10/10/2023 12:30,0.02,0.02,280084.9734,241799.0809,219.6328,,South
40059,105,Birch,Healthy,8.8,,The Carbon 4,15/10/2021 2:13pm,4,4,Native Broadleaf,Yes,Yes,A,040059-2021-10-15,24/05/2021,22,42,20,5,2,20-40,1/0,,,,,,,,,,17,7,,190,,TCC8 CarbonCom,7/10/2022 11:57am,Broadleaf,Alive,247,13,34,TCC7 CarbonCom,10/10/2023 12:34,0.01,0.02,280086.0178,241797.5625,219.1768,,South
40060,86.5,Birch,Healthy,6.2,,The Carbon 4,15/10/2021 2:14pm,4,4,Native Broadleaf,Yes,Yes,A,040060-2021-10-15,24/05/2021,22,42,20,4,2,20-40,1/0,,,,,,,,,,16,4,,157,,TCC8 CarbonCom,7/10/2022 11:54am,Broadleaf,Dead,,,,TCC7 CarbonCom,10/10/2023 12:37,0.01,0.02,280087.2446,241796.2457,218.7688,,South
40061,91.5,Alder,Healthy,10.9,,The Carbon 4,15/10/2021 2:15pm,4,4,Native Broadleaf,Yes,Yes,A,040061-2021-10-15,24/05/2021,22,42,20,5,6,20-60,1u1,,,,,,,,,,22,4,,145,,TCC8 CarbonCom,7/10/2022 11:52am,Broadleaf,Alive,145,4,34,TCC2 CarbonCom,10/10/2023 12:35,0.01,0.02,280088.6245,241794.6289,218.0707,,South
40062,50.5,Alder,Healthy,5.3,,The Carbon 4,15/10/2021 2:16pm,4,4,Native Broadleaf,Yes,Yes,A,040062-2021-10-15,24/05/2021,22,42,20,3,4,30-40,1+1,,,,,,,,,,15,,,113,,TCC8 CarbonCom,7/10/2022 11:48am,Broadleaf,Alive,196,9,33,TCC9 CarbonCom,10/10/2023 12:36,0.01,0.02,280089.7144,241793.3662,217.8844,,South
40063,104,Alder,Healthy,14.8,,The Carbon 4,15/10/2021 2:17pm,4,4,Native Broadleaf,Yes,Yes,A,040063-2021-10-15,24/05/2021,22,42,20,5,6,20-60,1u1,,,,,,,,,,34,13,,158,,TCC8 CarbonCom,7/10/2022 11:46am,Broadleaf,Alive,269,27,57,TCC9 CarbonCom,10/10/2023 12:37,0.01,0.02,280090.6563,241791.8255,217.3622,,South
40064,71,Alder,Healthy,8.6,,The Carbon 4,15/10/2021 2:18pm,4,4,Native Broadleaf,Yes,Yes,A,040064-2021-10-15,24/05/2021,22,42,20,4,6,20-60,1u1,,,,,,,,,,26,6,,164,,TCC8 CarbonCom,7/10/2022 11:43am,Broadleaf,Alive,258,23,52,TCC9 CarbonCom,10/10/2023 12:39,0.01,0.03,280091.8721,241790.4263,217.0109,,South
40065,42,Alder,Healthy,2.6,,TheCarbonCom5,15/10/2021 2:21pm,4,4,Native Broadleaf,Yes,Yes,A,040065-2021-10-15,24/05/2021,22,42,20,2,6,20-60,1u1,,,,,,,,,,16,,,116,,TCC14 CarbonCom,7/10/2022 11:43am,Broadleaf,Alive,218,12,41,TCC9 CarbonCom,10/10/2023 12:31,0.01,0.02,280093.3042,241791.7749,217.0219,,South
40066,62,Alder,Sick,4.2,,TheCarbonCom5,15/10/2021 2:20pm,4,4,Native Broadleaf,Yes,Yes,A,040066-2021-10-15,24/05/2021,22,42,20,3,6,20-60,1u1,,,,,,,,,,23,4,,138,,TCC14 CarbonCom,7/10/2022 11:45am,Broadleaf,Alive,271,21,50,TCC9 CarbonCom,10/10/2023 12:32,0.01,0.02,280092.3071,241793.0359,217.3689,,South
40067,88.5,Alder,Healthy,7.1,,TheCarbonCom5,15/10/2021 2:19pm,4,4,Native Broadleaf,Yes,Yes,A,040067-2021-10-15,24/05/2021,22,42,20,4,6,20-60,1u1,,,,,,,,,,27,6,,162,,TCC14 CarbonCom,7/10/2022 11:47am,Broadleaf,Alive,283,22,51,TCC9 CarbonCom,10/10/2023 12:33,0.01,0.02,280090.9395,241794.812,217.9105,,South
40068,28,Cherry,Healthy,0.9,,TheCarbonCom5,15/10/2021 2:18pm,4,4,Native Broadleaf,Yes,Yes,A,040068-2021-10-15,24/05/2021,22,42,20,1,6,20-60,1u1,,,,,,,,,,6,,,53,,TCC14 CarbonCom,7/10/2022 11:49am,Broadleaf,Alive,73,,7,TCC9 CarbonCom,10/10/2023 12:34,0.01,0.02,280089.9545,241795.881,218.2938,,South
40069,42,Alder,Healthy,4.4,,TheCarbonCom5,15/10/2021 2:16pm,4,4,Native Broadleaf,Yes,Yes,A,040069-2021-10-15,24/05/2021,22,42,20,2,6,20-60,1u1,,,,,,,,,,19,,,110,,TCC14 CarbonCom,7/10/2022 11:50am,Broadleaf,Alive,194,11,43,TCC2 CarbonCom,10/10/2023 12:32,0.01,0.02,280089.0846,241797.2777,218.5903,,South
40070,155.5,Rowan,Vigorous ,10.6,,TheCarbonCom5,15/10/2021 2:15pm,4,4,Native Broadleaf,Yes,Yes,A,040070-2021-10-15,24/05/2021,22,42,20,8,5,30-40,1+0,,,,,,,,,,24,13,,235,,TCC14 CarbonCom,7/10/2022 11:52am,Broadleaf,Alive,277,16,45,TCC2 CarbonCom,10/10/2023 12:30,0.01,0.02,280087.7016,241798.9257,219.1534,,South
40071,115,Aspen,Healthy,6.9,,TheCarbonCom5,15/10/2021 2:14pm,4,4,Native Broadleaf,Yes,Yes,A,040071-2021-10-15,24/05/2021,22,42,20,6,4,30-40,1+1,,,,,,,,,,31,8,,227,,TCC14 CarbonCom,7/10/2022 11:54am,Broadleaf,Alive,346,19,46,TCC2 CarbonCom,10/10/2023 12:27,0.01,0.03,280086.6438,241800.4985,219.6135,,South
40072,73.5,Cherry,Healthy,6,,TheCarbonCom5,15/10/2021 2:13pm,4,4,Native Broadleaf,Yes,Yes,A,040072-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,21,8,,185,,TCC14 CarbonCom,7/10/2022 11:55am,Broadleaf,Alive,215,12,37,TCC2 CarbonCom,10/10/2023 12:25,0.01,0.03,280085.7879,241801.5511,220.1268,,South
40073,52,Alder,Sick,3.2,,TheCarbonCom5,15/10/2021 2:12pm,4,4,Native Broadleaf,Yes,Yes,A,040073-2021-10-15,24/05/2021,22,42,20,3,6,20-60,1u1,,,,,,,,,,12,,,110,,TCC14 CarbonCom,7/10/2022 11:57am,Broadleaf,Alive,114,,17,TCC2 CarbonCom,10/10/2023 12:24,0.01,0.03,280084.625,241802.9036,220.5414,,South
40074,72,Alder,Healthy,5.3,,TheCarbonCom5,15/10/2021 2:11pm,4,4,Native Broadleaf,Yes,Yes,A,040074-2021-10-15,24/05/2021,22,42,20,4,6,20-60,1u1,,,,,,,,,,26,6,,159,,TCC14 CarbonCom,7/10/2022 11:58am,Broadleaf,Alive,243,17,44,TCC2 CarbonCom,10/10/2023 12:22,0.01,0.02,280083.1314,241804.6709,221.2381,,South
40075,100.5,Alder,Sick,9,,TheCarbonCom5,15/10/2021 2:10pm,4,4,Native Broadleaf,Yes,Yes,A,040075-2021-10-15,24/05/2021,22,42,20,5,6,20-60,1u1,,,,,,,,,,26,,,127,,TCC14 CarbonCom,7/10/2022 11:59am,Broadleaf,Alive,202,11,42,TCC2 CarbonCom,10/10/2023 12:20,0.01,0.02,280082.2617,241805.9476,221.7179,,South
40076,92,Cherry,Healthy,8.5,,TheCarbonCom5,15/10/2021 2:09pm,4,4,Native Broadleaf,Yes,Yes,A,040076-2021-10-15,24/05/2021,22,42,20,5,3,25-40,1u1,,,,,,,,,,24,7,,161,,TCC14 CarbonCom,7/10/2022 12:00pm,Broadleaf,Alive,186,11,38,TCC2 CarbonCom,10/10/2023 12:19,0.01,0.02,280081.0416,241807.2809,222.2244,,South
40077,79,Oak,Healthy,5,,TheCarbonCom5,15/10/2021 2:08pm,4,4,Native Broadleaf,Yes,Yes,A,040077-2021-10-15,24/05/2021,22,42,20,4,1,30-100muk,1u2,,,,,,,,,,16,,,138,,TCC14 CarbonCom,7/10/2022 12:01pm,Broadleaf,Alive,136,4,22,TCC2 CarbonCom,10/10/2023 12:17,0.01,0.02,280079.8574,241808.7414,222.7869,,South
40078,78,Birch,Healthy,8.2,,The Carbon 2,15/10/2021 2:22pm,4,4,Native Broadleaf,Yes,Yes,A,040078-2021-10-15,24/05/2021,22,42,20,4,2,20-40,1/0,,,,,,,,,,25,6,,208,,TCC12 CarbonCom,13/10/2022 11:16am,Broadleaf,Alive,226,8,37,TCC8 CarbonCom,10/10/2023 12:17,0.01,0.03,280082.3636,241808.7142,222.509,,South
40079,96,Cherry,Healthy,11.1,,The Carbon 2,15/10/2021 2:23pm,4,4,Native Broadleaf,Yes,Yes,A,040079-2021-10-15,24/05/2021,22,42,20,5,3,25-40,1u1,,,,,,,,,,23,8,,188,,TCC10 CarbonCom,7/10/2022 11:55am,Broadleaf,Alive,212,12,42,TCC8 CarbonCom,10/10/2023 12:18,0.01,0.02,280083.7769,241807.2885,221.9495,,South
40080,86,Cherry,Healthy,8.8,,The Carbon 2,15/10/2021 2:24pm,4,4,Native Broadleaf,Yes,Yes,A,040080-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,12,,,105,,TCC10 CarbonCom,7/10/2022 11:54am,Broadleaf,Alive,131,2,19,TCC8 CarbonCom,10/10/2023 12:21,0.01,0.02,280084.7532,241805.7664,221.4568,,South
40081,77,Cherry,Healthy,8.8,,The Carbon 2,15/10/2021 2:25pm,4,4,Native Broadleaf,Yes,Yes,A,040081-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,17,,,120,,TCC10 CarbonCom,7/10/2022 11:53am,Broadleaf,Alive,137,4,25,TCC8 CarbonCom,10/10/2023 12:23,0.01,0.02,280085.929,241804.3427,220.9401,,South
40082,117.5,Birch,Healthy,9.9,,The Carbon 2,15/10/2021 2:26pm,4,4,Native Broadleaf,Yes,Yes,A,040082-2021-10-15,24/05/2021,22,42,20,6,2,20-40,1/0,,,,,,,,,,29,6,,161,,TCC10 CarbonCom,7/10/2022 11:52am,Broadleaf,Alive,248,12,34,TCC8 CarbonCom,10/10/2023 12:25,0.01,0.02,280086.982,241802.9152,220.4499,,South
40083,111.5,Birch,Healthy,9.2,,The Carbon 2,15/10/2021 2:27pm,4,4,Native Broadleaf,Yes,Yes,A,040083-2021-10-15,24/05/2021,22,42,20,6,2,20-40,1/0,,,,,,,,,,24,5,,160,,TCC10 CarbonCom,7/10/2022 11:51am,Broadleaf,Alive,180,9,40,TCC8 CarbonCom,10/10/2023 12:26,0.01,0.02,280088.233,241801.5712,219.9048,,South
40084,78.5,Cherry,Healthy,8,,The Carbon 2,15/10/2021 2:29pm,4,4,Native Broadleaf,Yes,Yes,A,040084-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,22,7,,161,,TCC10 CarbonCom,7/10/2022 11:49am,Broadleaf,Alive,167,8,30,TCC8 CarbonCom,10/10/2023 12:28,0.01,0.03,280089.3396,241800.0395,219.3262,,South
40085,49,Birch,Healthy,2.4,,TheCarbonCom5,15/10/2021 2:29pm,4,4,Native Broadleaf,Yes,Yes,A,040085-2021-10-15,24/05/2021,22,42,20,2,2,20-40,1/0,,,,,,,,,,19,4,,151,,TCC10 CarbonCom,7/10/2022 11:48am,Broadleaf,Alive,186,6,24,TCC8 CarbonCom,10/10/2023 12:30,0.01,0.02,280090.4583,241798.7569,218.8584,,South
40086,73.5,Cherry,Healthy,8.3,,Iain Robertson,15/10/2021 2:29pm,4,4,Native Broadleaf,Yes,Yes,A,040086-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,22,6,,146,,TCC10 CarbonCom,7/10/2022 11:47am,Broadleaf,Alive,168,8,34,TCC8 CarbonCom,10/10/2023 12:31,0.01,0.02,280091.6114,241797.1104,218.3925,,South
40087,106,Birch,Healthy,8.5,,Iain Robertson,15/10/2021 2:28pm,4,4,Native Broadleaf,Yes,Yes,A,040087-2021-10-15,24/05/2021,22,42,20,5,2,20-40,1/0,,,,,,,,,,30,11,,260,,TCC10 CarbonCom,7/10/2022 11:45am,Broadleaf,Alive,277,16,42,TCC8 CarbonCom,10/10/2023 12:32,0.01,0.02,280092.671,241795.7619,217.9355,,South
40088,64.5,Cherry,Healthy,7.2,,Iain Robertson,15/10/2021 2:26pm,4,4,Native Broadleaf,Yes,Yes,A,040088-2021-10-15,24/05/2021,22,42,20,3,3,25-40,1u1,,,,,,,,,,17,4,,141,,TCC10 CarbonCom,7/10/2022 11:43am,Broadleaf,Alive,163,7,24,TCC11 CarbonCom,10/10/2023 12:33,0.02,0.02,280093.8861,241794.2249,217.3504,,South
40089,70,Cherry,Healthy,7,,Iain Robertson,15/10/2021 2:25pm,4,4,Native Broadleaf,Yes,Yes,A,040089-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,15,,,129,,TCC10 CarbonCom,7/10/2022 11:41am,Broadleaf,Alive,154,5,22,TCC11 CarbonCom,10/10/2023 12:31,0.02,0.03,280094.9436,241792.9822,216.9824,,South
40090,,Birch,Dead,,,The Carbon 4,15/10/2021 2:24pm,4,4,Native Broadleaf,Yes,Yes,A,040090-2021-10-15,24/05/2021,22,42,20,0,,,,,,,,checked,5,57,Heather Allen,21/5/2022 10:56am,11,,,108,,TCC13 CarbonCom,7/10/2022 11:41am,Broadleaf,Alive,134,2,15,TCC9 CarbonCom,10/10/2023 12:29,0.01,0.02,280096.0725,241794.2831,217.2372,,South
40091,57.5,Birch,Healthy,4.7,,The Carbon 4,15/10/2021 2:24pm,4,4,Native Broadleaf,Yes,Yes,A,040091-2021-10-15,24/05/2021,22,42,20,3,2,20-40,1/0,,,,,,,,,,14,3,,149,,TCC13 CarbonCom,7/10/2022 11:43am,Broadleaf,Dieback + new growth,56,,20,TCC9 CarbonCom,10/10/2023 12:28,0.01,0.02,280094.9667,241795.5437,217.6047,,South
40092,101.5,Aspen,Healthy,7.4,,The Carbon 4,15/10/2021 2:25pm,4,4,Native Broadleaf,Yes,Yes,A,040092-2021-10-15,24/05/2021,22,42,20,5,4,30-40,1+1,,,,,,,,,,19,7,,190,,TCC13 CarbonCom,7/10/2022 11:46am,Broadleaf,Alive,247,11,39,TCC9 CarbonCom,10/10/2023 12:26,0.01,0.02,280093.9403,241797.0548,217.9763,,South
40093,86.5,Alder,Healthy,10.6,,The Carbon 4,15/10/2021 2:26pm,4,4,Native Broadleaf,Yes,Yes,A,040093-2021-10-15,24/05/2021,22,42,20,4,6,20-60,1u1,,,,,,,,,,24,6,,155,,TCC13 CarbonCom,7/10/2022 11:48am,Broadleaf,Alive,245,20,54,TCC9 CarbonCom,10/10/2023 12:25,0.01,0.02,280092.7823,241798.6582,218.5413,,South
40094,49,Oak,Healthy,15,,TheCarbonCom5,15/10/2021 2:28pm,4,4,Native Broadleaf,Yes,Yes,A,040094-2021-10-15,24/05/2021,22,42,20,2,1,30-100muk,1u2,,,,,,,,,,17,,,117,,TCC13 CarbonCom,7/10/2022 11:49am,Broadleaf,Alive,106,,27,TCC9 CarbonCom,10/10/2023 12:25,0.01,0.02,280091.6753,241799.8668,218.9763,,South
40095,48.5,Oak,Healthy,5.6,,TheCarbonCom5,15/10/2021 2:28pm,4,4,Native Broadleaf,Yes,Yes,A,040095-2021-10-15,24/05/2021,22,42,20,2,1,30-100muk,1u2,,,,,,,,,,12,,,104,,TCC13 CarbonCom,7/10/2022 11:51am,Broadleaf,Alive,116,,23,TCC9 CarbonCom,10/10/2023 12:24,0.01,0.02,280090.5474,241801.3266,219.4716,,South
40096,82,Oak,Healthy,10.8,,TheCarbonCom5,15/10/2021 2:27pm,4,4,Native Broadleaf,Yes,Yes,A,040096-2021-10-15,24/05/2021,22,42,20,4,1,30-100muk,1u2,,,,,,,,,,14,,,94,,TCC13 CarbonCom,7/10/2022 11:52am,Broadleaf,Alive,114,,23,TCC9 CarbonCom,10/10/2023 12:23,0.01,0.02,280089.2132,241802.9759,220.0369,,South
40097,70,Cherry,Sick,4.9,,TheCarbonCom5,15/10/2021 2:26pm,4,4,Native Broadleaf,Yes,Yes,A,040097-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,18,5,,153,,TCC13 CarbonCom,7/10/2022 11:53am,Broadleaf,Alive,167,9,32,TCC9 CarbonCom,10/10/2023 12:22,0.01,0.02,280088.2078,241804.2781,220.549,,South
40098,70,Cherry,Sick,5.9,,TheCarbonCom5,15/10/2021 2:25pm,4,4,Native Broadleaf,Yes,Yes,A,040098-2021-10-15,24/05/2021,22,42,20,4,3,25-40,1u1,,,,,,,,,,18,,,120,,TCC13 CarbonCom,7/10/2022 11:53am,Broadleaf,Alive,161,5,33,TCC9 CarbonCom,10/10/2023 12:21,0.01,0.02,280087.0395,241805.9105,221.1697,,South
40099,67.5,Cherry,Sick,7.3,,TheCarbonCom5,15/10/2021 2:24pm,4,4,Native Broadleaf,Yes,Yes,A,040099-2021-10-15,24/05/2021,22,42,20,3,3,25-40,1u1,,,,,,,,,,17,,,126,,TCC13 CarbonCom,7/10/2022 11:54am,Broadleaf,Alive,165,5,30,TCC9 CarbonCom,10/10/2023 12:20,0.02,0.02,280085.7649,241807.2053,221.6342,,South
40100,103,Birch,Healthy,6.8,,TheCarbonCom5,15/10/2021 2:23pm,4,4,Native Broadleaf,Yes,Yes,A,040100-2021-10-15,24/05/2021,22,42,20,5,2,20-40,1/0,,,,,,,,,,18,8,,194,,TCC13 CarbonCom,7/10/2022 11:55am,Broadleaf,Alive,215,10,32,TCC9 CarbonCom,10/10/2023 12:20,0.01,0.02,280084.8123,241808.6098,222.1011,,South
70001,56,Birch,Healthy,4.4,,Iain Robertson,15/10/2021 2:40pm,7,7,Native Broadleaf,Yes,No,A,070001-2021-10-15,10/05/2021,20,42,22,3,2,20-40,1/0,,,,,,,,,,15,4,,173,,TCC3 CarbonCom,7/10/2022 12:13pm,Broadleaf,Alive,266,9,35,TCC5 CarbonCom,10/10/2023 14:42,0.01,0.02,280138.9916,241852.4312,223.1695,,South
70002,105.5,Birch,Healthy,8.3,,Iain Robertson,15/10/2021 2:41pm,7,7,Native Broadleaf,Yes,No,A,070002-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,24,7,,184,,TCC3 CarbonCom,7/10/2022 12:14pm,Broadleaf,Alive,268,16,36,TCC5 CarbonCom,10/10/2023 14:45,0.01,0.02,280140.081,241850.8347,222.5436,,South
70003,104.5,Birch,Healthy,7.7,,Iain Robertson,15/10/2021 2:43pm,7,7,Native Broadleaf,Yes,No,A,070003-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,21,9,,209,,TCC3 CarbonCom,7/10/2022 12:16pm,Broadleaf,Alive,249,13,33,TCC5 CarbonCom,10/10/2023 14:46,0.01,0.02,280141.1625,241849.3345,222.1342,,South
70004,120.5,Birch,Vigorous ,8.8,,Iain Robertson,15/10/2021 2:43pm,7,7,Native Broadleaf,Yes,No,A,070004-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,27,13,,233,,TCC3 CarbonCom,7/10/2022 12:17pm,Broadleaf,Alive,318,22,43,TCC5 CarbonCom,10/10/2023 14:48,0.01,0.02,280142.2869,241847.7707,221.648,,South
70005,65,Oak,Healthy,11.4,,Iain Robertson,15/10/2021 2:47pm,7,7,Native Broadleaf,Yes,No,A,070005-2021-10-15,10/05/2021,20,42,22,3,1,30-100muk,1u2,,,,,,,,,,15,,,107,,TCC3 CarbonCom,7/10/2022 12:17pm,Broadleaf,Alive,122,,22,TCC5 CarbonCom,10/10/2023 14:49,0.01,0.02,280143.2282,241846.5194,221.1665,,South
70006,115,Birch,Healthy,9.9,Duplicate?,Iain Robertson,15/10/2021 2:53pm,7,7,Native Broadleaf,Yes,No,A,070006-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,26,7,,207,,TCC3 CarbonCom,7/10/2022 12:18pm,Broadleaf,Alive,311,23,46,TCC5 CarbonCom,10/10/2023 14:50,0.01,0.02,280144.6118,241845.0421,220.6697,,South
70007,147,Birch,Vigorous ,10.5,,Iain Robertson,15/10/2021 2:54pm,7,7,Native Broadleaf,Yes,No,A,070007-2021-10-15,10/05/2021,20,42,22,7,2,20-40,1/0,,,,,,,,,,27,11,,248,,TCC3 CarbonCom,7/10/2022 12:19pm,Broadleaf,Alive,316,18,36,TCC5 CarbonCom,10/10/2023 14:52,0.01,0.02,280145.7047,241843.767,220.1931,,South
70008,90,Birch,Healthy,8,,Iain Robertson,15/10/2021 2:56pm,7,7,Native Broadleaf,Yes,No,A,070008-2021-10-15,10/05/2021,20,42,22,4,2,20-40,1/0,,,,,,,,,,19,6,,169,,TCC3 CarbonCom,7/10/2022 12:20pm,Broadleaf,Alive,232,14,34,TCC5 CarbonCom,10/10/2023 14:53,0.01,0.02,280147.0707,241842.0797,219.677,,South
70009,109,Birch,Healthy,7.2,,Iain Robertson,15/10/2021 2:56pm,7,7,Native Broadleaf,Yes,No,A,070009-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,24,10,,214,,TCC3 CarbonCom,7/10/2022 12:22pm,Broadleaf,Alive,327,16,38,TCC5 CarbonCom,10/10/2023 14:55,0.01,0.02,280148.1043,241840.7945,219.2595,,South
70010,79,Oak,Healthy,6.8,,Iain Robertson,15/10/2021 2:58pm,7,7,Native Broadleaf,Yes,No,A,070010-2021-10-15,10/05/2021,20,42,22,4,1,30-100muk,1u2,,,,,,,,,,10,,,113,,TCC3 CarbonCom,7/10/2022 12:23pm,Broadleaf,Alive,113,,18,TCC5 CarbonCom,10/10/2023 14:57,0.01,0.02,280149.3199,241839.1835,218.7036,,South
70011,87,Birch,Healthy,7,,Iain Robertson,15/10/2021 2:59pm,7,7,Native Broadleaf,Yes,No,A,070011-2021-10-15,10/05/2021,20,42,22,4,2,20-40,1/0,,,,,,,,,,20,7,,191,,TCC3 CarbonCom,7/10/2022 12:23pm,Broadleaf,Alive,200,8,30,TCC5 CarbonCom,10/10/2023 14:58,0.01,0.02,280150.4361,241837.9044,218.2616,,South
70012,98,Birch,Healthy,7,,Iain Robertson,15/10/2021 3:01pm,7,7,Native Broadleaf,Yes,No,A,070012-2021-10-15,10/05/2021,20,42,22,4,2,20-40,1/0,,,,,,,,,,24,6,,178,,TCC3 CarbonCom,7/10/2022 12:24pm,Broadleaf,Alive,284,17,47,TCC5 CarbonCom,10/10/2023 14:59,0.01,0.02,280151.7587,241836.238,217.7274,,South
70013,137.5,Rowan,Vigorous ,12.5,,charles nicholls,17/10/2021 12:17pm,7,7,Native Broadleaf,Yes,No,A,070013-2021-10-17,10/05/2021,20,43,23,6,5,30-40,1+0,,,,,,,,,,23,11,,213,,TCC3 CarbonCom,7/10/2022 12:25pm,Broadleaf,Alive,266,15,30,TCC5 CarbonCom,10/10/2023 15:01,0.01,0.02,280152.6007,241834.9946,217.425,,South
70014,75,Birch,Healthy,5.3,,Iain Robertson,15/10/2021 3:05pm,7,7,Native Broadleaf,Yes,No,A,070014-2021-10-15,10/05/2021,20,42,22,3,2,20-40,1/0,,,,,,,,,,15,4,,165,,TCC3 CarbonCom,7/10/2022 12:26pm,Broadleaf,Alive,217,7,23,TCC5 CarbonCom,10/10/2023 15:02,0.01,0.02,280153.7758,241833.7641,217.0636,,South
70015,105,Birch,Healthy,5,,Iain Robertson,15/10/2021 3:07pm,7,7,Native Broadleaf,Yes,No,A,070015-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,21,9,,218,,TCC3 CarbonCom,7/10/2022 12:27pm,Broadleaf,Alive,335,21,38,TCC5 CarbonCom,10/10/2023 15:04,0.01,0.02,280155.1634,241832.1736,216.6497,,South
70016,36.5,Oak,Healthy,5.1,,Iain Robertson,15/10/2021 3:09pm,7,7,Native Broadleaf,Yes,No,A,070016-2021-10-15,10/05/2021,20,42,22,2,1,30-100muk,1u2,,,,,,,,,,8,,,68,,TCC3 CarbonCom,7/10/2022 12:28pm,Broadleaf,Alive,94,,12,TCC5 CarbonCom,10/10/2023 15:05,0.01,0.02,280156.1811,241830.6467,216.1669,,South
70017,116.5,Birch,Healthy,8,,Iain Robertson,15/10/2021 3:11pm,7,7,Native Broadleaf,Yes,No,A,070017-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,22,7,,213,,TCC3 CarbonCom,7/10/2022 12:28pm,Broadleaf,Alive,303,14,33,TCC5 CarbonCom,10/10/2023 15:07,0.01,0.02,280157.2575,241829.3974,215.8846,,South
70018,83.5,Birch,Healthy,6,,The Carbon 2,15/10/2021 3:10pm,7,7,Native Broadleaf,Yes,No,A,070018-2021-10-15,10/05/2021,20,42,22,4,2,20-40,1/0,,,,,,,,,,20,6,,183,,TCC3 CarbonCom,7/10/2022 12:29pm,Broadleaf,Alive,238,11,31,TCC5 CarbonCom,10/10/2023 15:08,0.01,0.02,280158.5051,241827.7615,215.5496,,South
70019,96.5,Birch,Healthy,8.2,,The Carbon 2,15/10/2021 3:09pm,7,7,Native Broadleaf,Yes,No,A,070019-2021-10-15,10/05/2021,20,42,22,4,2,20-40,1/0,,,,,,,,,,22,7,,187,,TCC3 CarbonCom,7/10/2022 12:30pm,Broadleaf,Alive,252,10,28,TCC5 CarbonCom,10/10/2023 15:09,0.01,0.02,280159.7399,241826.5617,215.341,,South
70020,49.5,Oak,Sick,8.3,,The Carbon 2,15/10/2021 3:08pm,7,7,Native Broadleaf,Yes,No,A,070020-2021-10-15,10/05/2021,20,42,22,2,1,30-100muk,1u2,,,,,,,,,,11,,,74,,TCC3 CarbonCom,7/10/2022 12:30pm,Broadleaf,Alive,101,,16,TCC5 CarbonCom,10/10/2023 15:11,0.01,0.02,280160.7585,241825.016,214.9866,,South
70021,104,Birch,Healthy,5.2,,TheCarbonCom5,15/10/2021 2:58pm,7,7,Native Broadleaf,Yes,No,A,070021-2021-10-15,10/05/2021,20,42,22,5,2,20-40,1/0,,,,,,,,,,26,7,,192,,TCC12 CarbonCom,7/10/2022 12:29pm,Broadleaf,Alive,162,13,33,TCC8 CarbonCom,10/10/2023 15:15,0.01,0.02,280162.5496,241826.0737,215.1201,,South
